Date,Open,High,Low,Close,Volume,Adj.Close
12/02/2023,93.27,101.74,92.92,101.2,13228500,100.49
11/01/2023,89.74,96.0,88.27,93.48,12856000,92.82
10/01/2023,85.99,90.96,84.79,89.62,13341600,88.39
09/03/2023,87.7,89.87,85.61,86.04,12800900,84.86
08/01/2023,92.69,93.1,86.39,87.16,12914100,85.96
07/01/2023,90.39,95.49,89.96,93.75,11462900,91.83
06/03/2023,90.53,92.27,88.02,90.35,15737500,88.5
05/01/2023,88.52,93.5,87.48,90.47,13364200,88.61
04/01/2023,90.13,90.99,85.02,88.99,14132700,86.57
03/01/2023,89.07,90.98,87.9,90.11,14126500,87.66
02/01/2023,90.44,90.5,87.61,89.55,13249100,87.11
01/02/2023,87.79,91.93,87.24,89.97,13213700,86.96
12/03/2022,88.55,90.37,84.7,86.55,15112600,83.66
11/01/2022,90.25,92.05,85.06,88.14,14342700,85.19
10/01/2022,91.79,93.67,89.68,91.17,12188600,87.57
09/04/2022,87.33,92.57,86.52,91.45,14037000,87.84
08/01/2022,87.02,88.91,85.5,87.3,11399500,83.86
07/02/2022,85.44,87.85,82.83,86.85,15548900,82.89
06/01/2022,77.87,85.7,77.13,85.57,25082200,81.67
05/01/2022,86.46,87.52,78.41,78.63,17847200,75.04
04/02/2022,86.6,87.67,81.88,86.34,15598400,81.84
03/01/2022,86.47,87.25,84.05,86.73,15994500,82.21
02/01/2022,84.23,87.83,83.19,86.5,15949600,81.99
01/03/2022,85.97,87.94,83.46,83.74,18038500,78.94
12/01/2021,80.2,85.63,78.66,84.76,18567500,79.9
11/01/2021,75.82,80.53,73.9,80.44,22775500,75.83
10/03/2021,72.05,82.2,69.21,78.09,25943600,73.18
09/01/2021,74.15,74.98,67.93,72.63,27687600,68.06
08/01/2021,80.82,81.18,67.03,74.02,34928400,69.36
07/01/2021,81.19,85.41,79.76,79.79,20103800,74.28
06/01/2021,83.55,83.65,76.72,81.38,21103900,75.76
05/02/2021,88.1,88.13,79.42,83.47,20355400,77.71
04/01/2021,84.72,88.0,82.38,87.98,16353700,81.44
03/01/2021,86.41,86.5,78.8,84.13,19767400,77.88
02/01/2021,81.14,88.23,81.04,85.53,24636800,79.17
01/03/2021,73.72,80.82,73.64,80.68,24194700,74.29
12/01/2020,70.38,73.69,70.38,73.12,19295900,67.33
11/01/2020,66.72,71.9,66.63,69.56,24468700,64.05
10/01/2020,62.32,66.81,61.8,66.49,21413900,60.84
09/01/2020,60.04,62.44,59.72,61.79,21372500,56.54
08/02/2020,60.64,62.99,58.05,59.11,22846100,54.09
07/01/2020,56.98,61.88,55.94,59.68,30611600,54.22
06/01/2020,60.38,64.5,56.92,57.07,38748500,51.85
05/03/2020,68.11,68.22,58.46,60.46,40034400,54.93
04/01/2020,67.27,70.0,66.85,67.77,27383200,61.16
03/01/2020,65.36,67.89,65.08,66.98,26307600,60.45
02/01/2020,65.77,67.23,63.56,65.0,29209100,58.66
01/04/2020,68.72,70.6,64.02,64.43,33544900,57.77
12/01/2019,76.0,76.3,67.64,68.19,30354400,61.14
11/02/2019,72.05,76.54,71.04,75.07,18893700,67.31
10/01/2019,68.39,75.0,66.11,71.67,24248100,63.89
09/01/2019,68.93,71.08,67.83,68.61,21252200,61.16
08/03/2019,70.96,71.89,66.09,69.15,22000100,61.64
07/01/2019,70.67,72.79,64.46,70.39,26744900,62.37
06/01/2019,70.46,74.83,68.08,69.91,28378500,61.94
05/01/2019,67.13,71.39,65.6,69.35,28182500,61.44
04/01/2019,67.04,71.15,64.5,66.67,31807000,58.72
03/02/2019,67.0,71.49,61.86,68.1,44298300,59.98
02/02/2019,76.06,80.5,67.9,67.9,44023900,59.8
01/02/2019,80.06,82.73,74.01,76.48,44802100,67.02
12/01/2018,77.89,83.64,72.68,79.83,46656300,69.96
11/03/2018,73.45,81.03,67.54,80.15,54003200,70.24
10/01/2018,77.19,81.75,56.51,74.12,62482300,64.58
09/02/2018,78.04,82.0,71.51,77.66,38705200,67.67
08/01/2018,80.55,81.5,76.14,80.01,26908400,69.71
07/01/2018,87.87,89.63,79.1,80.43,33014400,69.72
06/02/2018,88.09,90.5,84.77,88.13,28218100,76.4
05/01/2018,90.1,96.12,87.6,88.76,28713400,76.95
04/01/2018,84.8,94.93,84.26,93.07,23311500,80.32
03/03/2018,86.83,88.5,81.97,84.58,32253000,73.0
02/01/2018,87.7,90.17,80.36,87.01,25847200,75.09
01/02/2018,94.15,94.74,77.55,85.7,30841000,73.64
12/03/2017,88.97,95.1,87.71,93.69,20010700,80.51
11/01/2017,89.83,90.95,83.37,89.16,27396100,76.62
10/01/2017,92.45,95.27,89.67,91.99,23720000,78.74
09/04/2017,85.31,93.66,83.88,92.56,24540500,79.23
08/01/2017,84.99,87.9,78.76,85.73,30843200,73.38
07/02/2017,84.5,93.62,84.12,85.13,28263400,72.58
06/01/2017,83.56,86.58,80.85,83.88,25316000,71.52
05/01/2017,79.5,84.32,79.05,83.17,21117100,70.91
04/02/2017,75.35,80.88,75.28,79.38,23657200,67.39
03/01/2017,70.9,76.35,69.02,75.45,28874700,64.05
02/01/2017,74.58,76.1,71.18,71.68,24060100,60.85
01/03/2017,76.26,76.27,70.64,74.1,26449100,62.64
12/01/2016,76.78,79.0,74.82,76.63,19954400,64.78
11/01/2016,71.58,77.37,70.27,76.81,20701700,64.93
10/02/2016,67.29,72.33,64.84,71.42,21755300,60.11
09/01/2016,67.85,68.65,63.87,67.1,24726500,56.48
08/01/2016,67.24,71.22,67.01,67.67,22894000,56.96
07/03/2016,61.8,67.94,61.63,67.74,22007100,56.75
06/01/2016,60.4,62.65,56.64,61.35,24370100,51.4
05/01/2016,63.4,64.77,59.15,60.91,20876700,51.03
04/03/2016,61.36,65.0,60.43,63.08,19051100,52.58
03/01/2016,59.59,61.92,58.44,60.86,19242900,50.73
02/01/2016,62.77,63.08,58.6,59.37,20284700,49.49
01/03/2016,56.42,63.96,56.42,62.75,21662600,52.03
